Date,Y
2015/6/3,16.599333
2015/6/4,16.394667
2015/6/5,16.609333
2015/6/8,17.086
2015/6/9,17.066668
2015/6/10,16.713333
2015/6/11,16.760668
2015/6/12,16.712667
2015/6/15,16.691999
2015/6/16,16.874666
2015/6/17,17.360666
2015/6/18,17.459333
2015/6/19,17.500668
2015/6/22,17.319332
2015/6/23,17.844667
2015/6/24,17.677999
2015/6/25,17.919333
2015/6/26,17.806
2015/6/29,17.468
2015/6/30,17.884001
2015/7/1,17.943333
2015/7/2,18.667999
2015/7/6,18.648001
2015/7/7,17.858667
2015/7/8,16.997334
2015/7/9,17.194668
2015/7/10,17.276667
2015/7/13,17.477333
2015/7/14,17.709999
2015/7/15,17.542667
2015/7/16,17.778667
2015/7/17,18.310667
2015/7/20,18.817333
2015/7/21,17.784666
2015/7/22,17.858
2015/7/23,17.813334
2015/7/24,17.694
2015/7/27,16.867332
2015/7/28,17.654667
2015/7/29,17.587999
2015/7/30,17.785999
2015/7/31,17.743334
2015/8/3,17.332666
2015/8/4,17.752001
2015/8/5,18.008667
2015/8/6,16.408667
2015/8/7,16.167334
2015/8/10,16.076
2015/8/11,15.824667
2015/8/12,15.878
2015/8/13,16.167334
2015/8/14,16.209999
2015/8/17,16.999332
2015/8/18,17.381332
2015/8/19,17.016666
2015/8/20,16.145332
2015/8/21,15.384667
2015/8/24,14.591333
2015/8/25,14.668667
2015/8/26,14.989333
2015/8/27,16.199333
2015/8/28,16.565332
2015/8/31,16.604
2015/9/1,15.908667
2015/9/2,16.512667
2015/9/3,16.371332
2015/9/4,16.128668
2015/9/8,16.544666
2015/9/9,16.594
2015/9/10,16.565332
2015/9/11,16.682667
2015/9/14,16.879333
2015/9/15,16.904667
2015/9/16,17.483334
2015/9/17,17.471333
2015/9/18,17.374666
2015/9/21,17.613333
2015/9/22,17.396
2015/9/23,17.403999
2015/9/24,17.541332
2015/9/25,17.127333
2015/9/28,16.562
2015/9/29,16.443333
2015/9/30,16.559999
2015/10/1,15.992
2015/10/2,16.504667
2015/10/5,16.41
2015/10/6,16.097334
2015/10/7,15.464
2015/10/8,15.114667
2015/10/9,14.712667
2015/10/12,14.372
2015/10/13,14.616667
2015/10/14,14.458667
2015/10/15,14.754
2015/10/16,15.134
